DataSet,Num Features,Gene List,Model,Precision,Recall,Accuracy,F1,AUROC
Methylation,4,RF1_5,KNN,0.6764705882352942,0.6571428571428571,0.6714285714285714,0.6666666666666666,0.7631632653061224
Methylation,4,RF1_5,RF,0.7017543859649122,0.5714285714285714,0.6642857142857143,0.6299212598425197,0.7652040816326531
Methylation,4,RF1_5,NB,0.5384615384615384,0.2,0.5142857142857142,0.2916666666666667,0.6112244897959184
Multiomics,100,RF2_50,LR,0.7123287671232876,0.7428571428571429,0.7214285714285714,0.7272727272727273,0.8240816326530613
Multiomics,100,RF2_50,KNN,0.7272727272727273,0.6857142857142857,0.7142857142857143,0.7058823529411764,0.763469387755102
Multiomics,100,RF2_50,RF,0.7213114754098361,0.6285714285714286,0.6928571428571428,0.6717557251908397,0.8124489795918368
Multiomics,100,RF2_50,NB,0.7857142857142857,0.6285714285714286,0.7285714285714285,0.6984126984126985,0.8281632653061224
mRNA,50,RF2_50,LR,0.7424242424242424,0.7,0.7285714285714285,0.7205882352941176,0.7910204081632652
mRNA,50,RF2_50,KNN,0.6933333333333334,0.7428571428571429,0.7071428571428572,0.7172413793103448,0.7854081632653062
mRNA,50,RF2_50,RF,0.7230769230769231,0.6714285714285714,0.7071428571428572,0.6962962962962963,0.8254081632653062
mRNA,50,RF2_50,NB,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.8120408163265307
Methylation,48,RF2_50,LR,0.726027397260274,0.7571428571428571,0.7357142857142858,0.7412587412587412,0.7726530612244898
Methylation,48,RF2_50,KNN,0.7605633802816901,0.7714285714285715,0.7642857142857142,0.7659574468085106,0.8003061224489796
Methylation,48,RF2_50,RF,0.7258064516129032,0.6428571428571429,0.7,0.6818181818181818,0.8195918367346938
Methylation,48,RF2_50,NB,0.7446808510638298,0.5,0.6642857142857143,0.5982905982905983,0.7789795918367346
Proteomics,2,RF2_50,LR,0.6081081081081081,0.6428571428571429,0.6142857142857143,0.625,0.5614285714285714
Proteomics,2,RF2_50,KNN,0.5555555555555556,0.6428571428571429,0.5642857142857143,0.5960264900662252,0.6634693877551021
Proteomics,2,RF2_50,RF,0.6612903225806451,0.5857142857142857,0.6428571428571429,0.6212121212121212,0.6927551020408164
Proteomics,2,RF2_50,NB,0.5333333333333333,0.34285714285714286,0.5214285714285715,0.41739130434782606,0.4716326530612245
Multiomics,51,RF2_25,LR,0.746031746031746,0.6714285714285714,0.7214285714285714,0.706766917293233,0.7879591836734694
