Dataset,Gene List,Model,FPR,TPR,Thresholds
Methylation,mRNA Var,LR,0.17142857142857143,0.6857142857142857,0.543368719988151
Methylation,mRNA Var,LR,0.17142857142857143,0.7,0.5418834000569529
Methylation,mRNA Var,LR,0.18571428571428572,0.7,0.5345722487674329
Methylation,mRNA Var,LR,0.18571428571428572,0.7285714285714285,0.5277465483827496
Methylation,mRNA Var,LR,0.21428571428571427,0.7285714285714285,0.5255111660714608
Methylation,mRNA Var,LR,0.21428571428571427,0.7428571428571429,0.5096382148777643
Methylation,mRNA Var,LR,0.24285714285714285,0.7428571428571429,0.4998793751390194
Methylation,mRNA Var,LR,0.24285714285714285,0.7571428571428571,0.4906513015194958
Methylation,mRNA Var,LR,0.2571428571428571,0.7571428571428571,0.48792297982966526
Methylation,mRNA Var,LR,0.2571428571428571,0.7857142857142857,0.47974263028140157
Methylation,mRNA Var,LR,0.2857142857142857,0.7857142857142857,0.47601800223565316
Methylation,mRNA Var,LR,0.2857142857142857,0.8,0.47283800168216017
Methylation,mRNA Var,LR,0.34285714285714286,0.8,0.4597636680051254
Methylation,mRNA Var,LR,0.34285714285714286,0.8142857142857143,0.4526528304059855
Methylation,mRNA Var,LR,0.38571428571428573,0.8142857142857143,0.4244929286843741
Methylation,mRNA Var,LR,0.38571428571428573,0.8285714285714286,0.42185918620997703
Methylation,mRNA Var,LR,0.4142857142857143,0.8285714285714286,0.4166007205009111
Methylation,mRNA Var,LR,0.4857142857142857,0.8285714285714286,0.4122751193130521
Methylation,mRNA Var,LR,0.5285714285714286,0.8285714285714286,0.4076289033013833
Methylation,mRNA Var,LR,0.5714285714285714,0.8285714285714286,0.4056972291180032
Methylation,mRNA Var,LR,0.5857142857142857,0.8285714285714286,0.4056865213027485
Methylation,mRNA Var,LR,0.6285714285714286,0.8285714285714286,0.40442859776105716
Methylation,mRNA Var,LR,0.6857142857142857,0.8285714285714286,0.3851489414971564
Methylation,mRNA Var,LR,0.6857142857142857,0.8428571428571429,0.3846841516169468
Methylation,mRNA Var,LR,0.7,0.8428571428571429,0.38315948684479173
Methylation,mRNA Var,LR,0.7,0.9142857142857143,0.3654896644693568
Methylation,mRNA Var,LR,0.7142857142857143,0.9142857142857143,0.3653682423976894
Methylation,mRNA Var,LR,0.7142857142857143,0.9285714285714286,0.3632508425753456
Methylation,mRNA Var,LR,0.8,0.9285714285714286,0.3161087001442964
Methylation,mRNA Var,LR,0.8,0.9428571428571428,0.30873621320282746
Methylation,mRNA Var,LR,0.8285714285714286,0.9428571428571428,0.29840937973275344
Methylation,mRNA Var,LR,0.8285714285714286,0.9714285714285714,0.28669987353682536
Methylation,mRNA Var,LR,0.9857142857142858,0.9714285714285714,0.20011048099440853
Methylation,mRNA Var,LR,0.9857142857142858,1.0,0.16648625367757391
Methylation,mRNA Var,LR,1.0,1.0,0.16283521505626625
Methylation,mRNA Var,KNN,0.0,0.0,2.0
Methylation,mRNA Var,KNN,0.02857142857142857,0.4857142857142857,1.0
Methylation,mRNA Var,KNN,0.08571428571428572,0.5714285714285714,0.8
Methylation,mRNA Var,KNN,0.2,0.6571428571428571,0.6
Methylation,mRNA Var,KNN,0.4857142857142857,0.7714285714285715,0.4
Methylation,mRNA Var,KNN,0.6571428571428571,0.9142857142857143,0.2
Methylation,mRNA Var,KNN,1.0,1.0,0.0
Methylation,mRNA Var,RF,0.0,0.0,2.0
Methylation,mRNA Var,RF,0.0,0.32857142857142857,1.0
Methylation,mRNA Var,RF,0.014285714285714285,0.35714285714285715,0.9
Methylation,mRNA Var,RF,0.05714285714285714,0.4142857142857143,0.8
Methylation,mRNA Var,RF,0.18571428571428572,0.4714285714285714,0.7
Methylation,mRNA Var,RF,0.24285714285714285,0.6142857142857143,0.6
